City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Takoradi,GH,4.8845,-1.7554,78.94,85,99,6.38,light rain
150,Vytegra,RU,61.0064,36.4481,21.43,96,7,4.29,clear sky
151,Ostrovnoy,RU,68.0531,39.5131,15.12,95,74,8.72,broken clouds
152,Tihuatlan,MX,20.7167,-97.5333,78.51,78,100,11.23,overcast clouds
153,Bathsheba,BB,13.2167,-59.5167,79.41,78,20,19.57,few clouds
154,Akyab,MM,20.15,92.9,84.52,69,49,5.26,scattered clouds
155,Linxia,CN,35.6003,103.2064,42.62,66,100,2.82,overcast clouds
156,Ilulissat,GL,69.2167,-51.1,-7.89,93,17,7.23,few clouds
157,College,US,64.8569,-147.8028,36.28,36,42,1.99,scattered clouds
158,Faanui,PF,-16.4833,-151.75,82.4,69,0,16.08,clear sky
159,Ponta Delgada,PT,37.7333,-25.6667,61.52,88,20,4.61,few clouds
160,Saveh,IR,35.0213,50.3566,58.53,44,11,4.27,few clouds
161,Mar Del Plata,AR,-38.0023,-57.5575,60.1,83,0,15.01,clear sky
162,Cap Malheureux,MU,-19.9842,57.6142,75.47,85,47,7.0,light rain
163,Namibe,AO,-15.1961,12.1522,70.81,79,14,4.45,few clouds
164,Hay River,CA,60.8156,-115.7999,21.18,68,75,11.5,broken clouds
165,Pangkalanbuun,ID,-2.6833,111.6167,76.23,96,100,1.92,light rain
166,Aranos,NA,-24.1333,19.1167,65.77,43,19,9.53,few clouds
167,Nome,US,64.5011,-165.4064,35.11,83,100,22.46,light snow
168,Hilo,US,19.7297,-155.09,83.28,89,100,6.91,haze
169,Qax,AZ,41.4225,46.9242,41.99,63,6,3.67,clear sky
170,Alice Springs,AU,-23.7,133.8833,87.35,22,5,13.8,clear sky
171,Longyearbyen,SJ,78.2186,15.6401,30.04,93,75,2.3,light snow
172,Port Hedland,AU,-20.3167,118.5667,91.45,29,11,11.5,few clouds
173,Berlevag,NO,70.8578,29.0864,37.2,98,100,21.7,overcast clouds
174,Tucuma,BR,-0.1833,-50.05,76.57,89,100,5.55,overcast clouds
175,Milas,TR,37.3164,27.7839,47.55,81,0,4.61,clear sky
176,Bhiwani,IN,28.7833,76.1333,77.7,17,0,3.2,clear sky
177,Princeton,US,25.5384,-80.4089,76.01,88,75,14.97,broken clouds
178,Calvia,ES,39.5657,2.5062,57.07,63,2,5.26,clear sky
179,Labuhan,ID,-6.8844,112.2051,81.99,76,78,4.94,broken clouds
180,Noumea,NC,-22.2763,166.4572,82.38,99,0,12.75,clear sky
181,Lubango,AO,-14.9172,13.4925,59.38,84,100,2.15,light rain
182,Port Blair,IN,11.6667,92.75,77.04,94,20,2.3,few clouds
183,Santa Marta,CO,11.2408,-74.199,86.05,67,20,15.01,few clouds
184,Bilma,NE,18.6853,12.9164,84.51,6,100,11.12,overcast clouds
185,Kijang,KR,35.2442,129.2139,55.13,47,100,10.27,overcast clouds
186,Clyde River,CA,70.4692,-68.5914,-14.57,76,0,11.5,clear sky
187,Goure,NE,13.9835,10.2704,85.01,43,38,6.31,scattered clouds
188,Dingle,PH,10.9995,122.6711,82.99,72,15,3.89,few clouds
189,Fort-Shevchenko,KZ,44.5086,50.263,49.91,84,96,8.03,overcast clouds
190,Takab,IR,36.4009,47.1133,46.27,44,100,1.97,overcast clouds
191,Bandarbeyla,SO,9.4942,50.8122,82.74,70,100,5.91,overcast clouds
192,Kapaa,US,22.0752,-159.319,82.38,74,100,7.0,overcast clouds
193,Ust-Tsilma,RU,65.441,52.1498,18.41,97,93,5.06,overcast clouds
194,Fairbanks,US,64.8378,-147.7164,36.3,35,41,3.0,scattered clouds
195,Anaconda,US,46.1285,-112.9423,28.29,71,99,3.09,overcast clouds
196,Ayr,GB,55.4627,-4.6339,52.32,87,40,5.75,scattered clouds
197,Malaya Purga,RU,56.5567,53.0043,31.5,89,96,12.62,overcast clouds
198,Calatayud,ES,41.3535,-1.6432,57.65,75,2,1.19,clear sky
199,Comodoro Rivadavia,AR,-45.8667,-67.5,61.75,51,7,21.99,clear sky
200,Hervey Bay,AU,-25.2986,152.8535,74.23,62,22,16.55,few clouds
201,Muravlenko,RU,63.7898,74.523,30.88,99,100,12.66,snow
202,Jeremie,HT,18.65,-74.1167,77.9,79,26,1.95,scattered clouds
203,Kiama,AU,-34.6833,150.8667,74.25,74,73,2.42,broken clouds
204,Lorengau,PG,-2.0226,147.2712,84.94,70,48,6.08,scattered clouds
205,Mackay,AU,-21.15,149.2,82.69,69,12,17.02,few clouds
206,Paamiut,GL,61.994,-49.6678,22.5,78,17,13.91,few clouds
207,Pacific Grove,US,36.6177,-121.9166,63.9,73,100,7.0,overcast clouds
208,Kieta,PG,-6.2167,155.6333,83.28,75,100,3.09,light rain
209,Phan Thiet,VN,10.9333,108.1,80.85,81,100,3.4,overcast clouds
210,Rorvik,NO,64.8621,11.2373,42.04,86,95,14.61,overcast clouds
211,Westport,US,41.1415,-73.3579,58.86,53,0,15.01,clear sky
212,Ribeira Grande,PT,38.5167,-28.7,61.2,77,40,8.05,scattered clouds
213,Bengkulu,ID,-3.8004,102.2655,78.44,84,100,3.04,overcast clouds
214,Pisco,PE,-13.7,-76.2167,66.02,86,19,1.43,few clouds
215,Svarstad,NO,59.399,9.9698,41.0,59,99,3.0,overcast clouds
216,Palmer,US,42.1584,-72.3287,57.58,29,1,8.01,clear sky
217,Torrelavega,ES,43.3494,-4.0479,59.65,95,0,1.99,clear sky
218,Baruun-Urt,MN,46.6806,113.2792,44.37,30,63,11.92,broken clouds
219,Pahrump,US,36.2083,-115.9839,74.25,20,64,5.99,broken clouds
220,Salalah,OM,17.0151,54.0924,76.53,55,0,1.97,clear sky
221,Durango,MX,24.8333,-104.8333,76.62,7,21,16.82,few clouds
222,Catamarca,AR,-28.4696,-65.7852,59.47,69,12,12.46,few clouds
223,Agadir,MA,30.4202,-9.5982,61.25,35,100,9.48,overcast clouds
224,Surt,LY,31.2089,16.5887,64.09,81,0,3.76,clear sky
